Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Great Britain,Great Britain,GB,62.4,91.22,86.0,60.11,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 01:00:00,Great Britain,Great Britain,GB,64.93,94.42,85.67,60.28,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 02:00:00,Great Britain,Great Britain,GB,57.13,85.0,86.91,60.44,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 03:00:00,Great Britain,Great Britain,GB,58.44,86.66,86.58,59.12,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 04:00:00,Great Britain,Great Britain,GB,62.46,91.85,85.69,57.43,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 05:00:00,Great Britain,Great Britain,GB,63.36,92.53,85.58,56.66,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 06:00:00,Great Britain,Great Britain,GB,64.59,94.0,85.35,56.49,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 07:00:00,Great Britain,Great Britain,GB,66.69,96.62,84.87,56.31,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 08:00:00,Great Britain,Great Britain,GB,66.79,96.74,84.9,56.77,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 09:00:00,Great Britain,Great Britain,GB,64.12,93.54,85.95,58.14,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 10:00:00,Great Britain,Great Britain,GB,62.52,92.83,86.25,58.22,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 11:00:00,Great Britain,Great Britain,GB,64.76,97.74,85.9,59.43,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 12:00:00,Great Britain,Great Britain,GB,68.01,103.63,85.12,59.73,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 13:00:00,Great Britain,Great Britain,GB,73.72,110.59,83.37,57.94,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 14:00:00,Great Britain,Great Britain,GB,81.57,121.41,81.16,55.24,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 15:00:00,Great Britain,Great Britain,GB,104.47,151.24,75.45,49.74,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 16:00:00,Great Britain,Great Britain,GB,127.72,179.71,69.99,45.73,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 17:00:00,Great Britain,Great Britain,GB,139.93,195.59,67.13,44.13,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 18:00:00,Great Britain,Great Britain,GB,140.98,197.14,66.84,42.83,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 19:00:00,Great Britain,Great Britain,GB,135.96,191.54,67.54,42.22,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 20:00:00,Great Britain,Great Britain,GB,135.1,190.49,67.73,40.71,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 21:00:00,Great Britain,Great Britain,GB,134.66,188.67,68.69,40.06,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 22:00:00,Great Britain,Great Britain,GB,124.1,175.66,71.81,40.74,elexon.co.uk;  nationalgrideso.com,false,
2023-01-01 23:00:00,Great Britain,Great Britain,GB,123.39,174.43,72.37,38.75,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 00:00:00,Great Britain,Great Britain,GB,116.89,167.58,73.2,38.47,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 01:00:00,Great Britain,Great Britain,GB,105.7,151.89,75.52,40.63,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 02:00:00,Great Britain,Great Britain,GB,102.45,146.54,76.5,41.04,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 03:00:00,Great Britain,Great Britain,GB,96.68,139.08,78.15,42.01,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 04:00:00,Great Britain,Great Britain,GB,99.15,143.8,77.59,40.14,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 05:00:00,Great Britain,Great Britain,GB,96.14,143.77,77.94,43.49,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 06:00:00,Great Britain,Great Britain,GB,111.37,164.26,74.38,43.13,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 07:00:00,Great Britain,Great Britain,GB,121.2,175.97,71.36,42.72,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 08:00:00,Great Britain,Great Britain,GB,132.07,191.0,68.4,42.52,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 09:00:00,Great Britain,Great Britain,GB,136.61,196.96,67.79,43.94,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 10:00:00,Great Britain,Great Britain,GB,125.13,182.29,70.98,46.94,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 11:00:00,Great Britain,Great Britain,GB,129.34,188.67,69.42,46.68,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 12:00:00,Great Britain,Great Britain,GB,124.87,182.61,70.88,47.53,elexon.co.uk;  nationalgrideso.com,false,
2023-01-02 13:00:00,Great Britain,Great Britain,GB,134.11,194.34,68.28,45.65,elexon.co.uk;  nationalgrideso.com,false,
