Datetime,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-01-01,42.78813,41.80661,37.040085,36.77484,34.948547,37.72821,50.37706,58.428047,68.612526,73.29192,82.29081,82.58448,80.48749,87.98869,77.75006,71.30773,86.46278,91.565254,103.29125,93.60284,93.35386,70.99509,67.634926,51.362946
2024-01-02,62.606743,56.259773,50.10768,47.470055,51.53559,62.96248,78.14288,94.450264,108.90827,116.20462,123.61415,117.87388,114.12233,119.01701,110.87903,114.74098,135.30353,135.24203,140.79562,124.242645,119.58135,96.18878,88.993164,78.90458
2024-01-03,82.08246,78.28985,75.822174,75.05348,75.979065,84.953125,97.34889,109.15744,118.28664,119.578735,121.79567,114.32675,107.86113,108.94757,101.82783,106.08032,119.99897,121.823105,128.0104,116.996315,114.47986,101.40116,95.890625,90.688446
2024-01-04,94.97692,91.709816,89.94328,89.04978,90.08547,98.764145,109.89554,120.671875,128.37067,128.47304,128.7669,121.551094,115.44319,115.873215,110.53011,115.243576,127.23761,128.15372,132.39899,122.80492,120.31935,110.663,106.09234,102.65968
2024-01-05,103.63971,100.6333,99.33999,98.32571,99.486755,108.31208,119.34461,129.21548,136.24852,134.46205,132.81873,125.08067,118.41019,118.014694,113.19774,117.9198,128.47275,129.2128,132.86566,124.01056,121.63196,114.75186,111.05067,109.07045
2024-01-06,98.67647,95.03772,93.178505,91.7963,89.9173,93.886055,102.78449,112.49632,120.14642,122.49274,125.29689,120.109146,115.08861,115.4532,109.699936,111.283775,121.52211,124.61267,131.42012,125.165085,124.19734,113.77832,109.18773,103.352684
2024-01-07,100.60052,97.016,95.24644,94.01806,90.7632,92.09428,98.70273,107.041794,113.63263,117.7348,122.6123,119.47474,115.69914,116.34735,110.92154,110.83113,119.473816,123.472015,131.05997,127.469406,127.590256,116.8444,111.928955,104.683754
2024-01-08,108.52295,105.4862,104.38584,103.30363,104.11996,112.85338,122.85135,133.29947,139.28229,138.34912,136.35745,129.25024,123.52461,123.04642,119.702545,125.36397,135.61223,135.66826,138.15605,130.45126,128.52391,122.582306,118.81363,116.86809
2024-01-09,109.86099,106.32862,105.33667,103.81279,103.06278,111.00399,121.80582,133.34695,139.77463,138.45985,135.60454,127.48774,120.83288,119.42502,115.46599,121.09847,131.84305,133.17798,137.42812,130.21645,129.04306,123.550316,120.04643,117.51175
2024-01-10,113.04053,109.880005,109.467926,108.622765,108.90687,118.01989,127.936874,137.97656,142.64908,140.91386,137.80408,130.72824,124.456604,122.93742,119.37982,124.82178,134.31229,134.85742,138.17352,131.91348,131.28256,126.943245,123.441895,121.59852
2024-01-11,114.63429,111.40694,110.9055,109.91263,110.64815,120.40623,130.7439,140.84364,145.61461,143.24843,139.46338,132.06894,125.60391,124.002106,120.5688,126.23874,135.74579,135.99393,138.93839,132.36777,131.58482,127.76314,124.4962,123.04397
2024-01-12,113.31389,110.32434,109.86488,109.25471,110.51389,120.39772,130.28677,139.47118,143.92686,141.50945,138.27213,131.21646,124.84389,123.4825,119.994965,125.46098,134.47702,134.61363,137.26746,130.75711,129.78952,125.840324,122.36791,121.1356
2024-01-13,110.35832,106.31998,104.9696,103.891014,103.338776,109.769806,118.40777,127.593994,133.6164,134.37634,134.6871,128.99449,123.58911,122.62142,117.996925,120.797165,129.44371,131.46136,136.79343,131.85818,131.54817,124.50549,120.181305,116.14374
2024-01-14,99.91721,96.3033,94.6458,93.762276,91.51234,93.834,101.02515,109.60884,117.30006,120.89891,125.26782,120.59827,115.96008,116.13641,110.300735,111.0847,119.9111,123.47387,130.57515,125.40551,124.25227,113.42624,108.23367,102.51459
2024-01-15,103.7148,100.07931,98.43782,96.832085,95.28133,103.50788,114.51498,126.61,132.38788,131.06013,129.01431,120.784225,114.317154,113.576355,109.12012,114.877975,126.36777,129.76949,136.65137,130.69734,129.2237,121.7121,116.87938,112.46901
2024-01-16,106.73951,105.20234,105.32408,105.07994,105.08956,113.69882,123.662346,133.77808,138.51451,135.51035,131.73068,123.1924,116.36944,115.31405,112.37853,119.719604,129.4638,129.5795,131.51936,123.54329,121.256485,117.68396,114.23558,114.342415
2024-01-17,108.15702,105.72651,105.62378,105.09505,105.65976,115.86849,126.652756,137.4996,142.04642,139.37227,135.25417,127.113785,120.33159,119.01881,115.72843,122.89526,133.48007,133.41287,135.83179,127.99971,126.63815,122.570206,119.09848,118.24884
2024-01-18,110.98552,108.260414,108.05735,107.043144,106.8608,116.09927,126.90524,138.16882,143.24892,140.8637,136.65175,128.46994,121.72961,120.16539,116.80394,123.434006,133.97511,134.31882,137.31853,129.84357,128.65923,124.64116,121.44383,120.219025
2024-01-19,99.669586,97.92988,97.375885,96.86028,97.38016,106.459045,117.952805,128.83292,135.26779,131.80591,128.27756,118.41109,110.65158,110.05887,106.365616,114.39984,125.99497,126.50905,128.7323,118.52556,115.0457,109.86163,106.28258,106.16921
2024-01-20,86.671745,83.41849,80.90433,79.97661,79.40227,84.41136,94.86609,104.96821,114.885605,116.28883,119.60936,112.19734,105.981964,107.0336,100.20576,102.90847,114.26718,117.20609,123.78255,114.21527,110.98014,98.85234,93.582115,88.97903
